title,release_date,genre,score
Alpha Black Zero: Intrepid Protocol,2004-08-27,Action,6.0
Chessmaster 10th Edition,2004-08-26,Strategy,8.4
Wings of War,2004-09-10,"Flight, Action",6.6
Marine Heavy Gunner: Vietnam,2004-10-01,Shooter,5.0
ShellShock: Nam '67,2004-09-20,Shooter,5.8
Final Fantasy XI: Chains of Promathia,2004-09-28,RPG,7.5
Madden NFL 2005,2004-09-28,"Sports, Simulation",9.5
Shark Tale,2004-10-08,"Action, Adventure",6.5
Tiger Woods PGA Tour 2005,2004-09-27,Sports,9.0
Tony Hawk's Underground 2,2004-10-07,Sports,8.6
Rapala Pro Fishing,2004-10-07,Hunting,6.1
Silent Hill 4: The Room,2004-09-23,Action,6.9
Adventures of Sherlock Holmes: The Silver Earring,2004-10-11,Adventure,8.3
Law & Order: Justice Is Served,2004-10-20,Adventure,8.4
The Saga of Ryzom,2004-10-18,RPG,7.5
Star Wars Galaxies: Jump to Lightspeed,2004-11-05,RPG,7.9
WANTED: A Wild Western Adventure,2004-10-18,Adventure,6.5
Wildfire,2004-11-04,Strategy,6.0
Pacific Fighters,2004-11-04,"Flight, Action",7.7
American McGee Presents Scrapland,2004-11-03,"Action, Adventure",8.3
Wings of Power: WWII Heavy Bombers and Jets,2004-10-13,Flight,8.3
SuperPower 2,2004-11-02,Strategy,4.5
Axis & Allies,2004-11-02,Strategy,8.4
Combat Over Europe,2004-11-11,Flight,8.0
NBA Live 2005,2004-11-10,"Sports, Simulation",8.9
Immortal Cities: Children of the Nile,2004-11-09,Strategy,7.9
Outdoor Life: Sportsman's Challenge,2004-11-09,Simulation,6.8
Pitfall: The Lost Expedition,2004-11-08,"Action, Adventure",7.8
MTX: Mototrax,2004-11-08,Sports,8.3
Need for Speed Underground 2,2004-11-12,Racing,9.1
FIFA Soccer 2005,2004-11-11,Sports,8.6
Athens 2004,2004-10-26,Sports,4.5
Atlantis Evolution,2004-10-25,Adventure,5.5
Shade: Wrath of Angels,2004-10-25,"Action, Adventure",5.0
Manchester United Club Football 2005,2004-10-22,Sports,7.7
TOCA Race Driver 2,2004-10-21,Racing,8.2
"Medieval Lords: Build, Defend, Expand",2004-11-01,Simulation,4.5
Deer Hunter 2005,2004-10-28,"Hunting, Simulation",7.3
Ski Resort Extreme,2004-11-19,Simulation,6.2
Space Interceptor: Project Freedom,2004-11-19,Action,7.8
Colin McRae Rally 2005,2004-11-19,Racing,9.1
Sid Meier's Pirates! Live the Life,2004-11-19,"Action, Adventure",9.2
Blitzkrieg: Rolling Thunder,2004-11-17,Strategy,7.7
Zoo Tycoon 2,2004-11-17,Simulation,7.5
Teenage Mutant Ninja Turtles 2: Battle Nexus,2004-11-23,"Fighting, Action",6.0
Wings Over Vietnam,2004-11-23,"Flight, Action",7.8
Forgotten Realms: Demon Stone,2004-11-22,"Action, RPG",7.0
Worms Forts Under Siege,2004-12-08,Strategy,6.9
Lemony Snicket's A Series of Unfortunate Events,2004-12-06,Platformer,6.5
Armies of Exigo,2004-12-15,Strategy,7.0
Alexander,2004-12-02,Strategy,7.0
The Chronicles of Riddick: Escape from Butcher Bay -- Developer's Cut,2004-12-14,Shooter,8.8
Sonic Heroes,2004-12-10,Platformer,7.0
World of Warcraft,2004-12-10,RPG,9.1
Vendetta Online,2005-01-12,RPG,6.5
Galactic Civilizations: Altarian Prophecy,2005-01-12,Strategy,8.0
Fritz 8 Deluxe,2005-01-06,Board,8.0
Time of Defiance,2005-01-03,Strategy,8.3
CSI: Miami,2004-12-22,Adventure,6.0
Will of Steel,2005-02-02,Strategy,6.0
The Punisher [2005],2005-01-31,Shooter,8.0
COPS 2170: The Power of Law,2005-01-31,Strategy,4.0
NRA Varmint Hunter,2005-01-28,Shooter,1.0
Playboy: The Mansion,2005-01-21,Simulation,6.9
Second Sight,2005-02-17,"Action, Adventure",7.5
NASCAR SimRacing,2005-02-16,"Racing, Simulation",9.2
Aerial Strike: Low Altitude -- High Stakes,2005-02-16,"Flight, Action",6.0
Flashpoint Germany,2005-02-10,Strategy,7.2
Torrente,2005-02-04,Shooter,3.3
MVP Baseball 2005,2005-03-01,Sports,8.8
The Sims 2: University,2005-02-28,Simulation,8.5
Mortyr II,2005-03-16,Shooter,6.0
Gary Grigsby's World at War,2005-03-10,Strategy,8.5
DRIV3R,2005-03-22,"Racing, Action",5.4
Domination,2005-03-22,Strategy,7.2
The Matrix Online,2005-04-15,RPG,7.6
Special Forces: Nemesis Strike,2005-04-13,Action,7.0
SWAT 4,2005-03-30,Shooter,9.0
PsychoToxic,2005-03-29,Action,5.0
Empire Earth II,2005-04-25,Strategy,8.9
Pariah,2005-05-03,Shooter,7.8
Juiced,2005-06-10,Racing,6.0
Madagascar,2005-06-01,Action,7.0
Dungeon Lords,2005-05-31,"Action, RPG",4.5
Area 51,2005-06-09,Shooter,7.5
Battlefield 2,2005-06-19,Shooter,8.9
Star Wars Galaxies: Rage of the Wookiees,2005-05-13,RPG,7.6
Tin Soldiers: Julius Caesar,2005-05-12,Strategy,7.9
Necromania: Traps of Darkness,2005-06-16,Action,4.5
Supreme Ruler 2010,2005-06-15,Strategy,7.8
Tom Clancy's Rainbow Six 3: Iron Wrath,2005-06-15,Shooter,8.1
Restricted Area,2005-06-28,"Action, RPG",6.0
TrackMania Sunrise,2005-06-28,"Racing, Editor",8.0
Fantastic 4,2005-06-28,Action,6.5
GTR FIA Racing,2005-06-14,"Racing, Simulation",8.5
RollerCoaster Tycoon 3: Soaked!,2005-06-20,Simulation,8.2
Crown of Glory,2005-07-11,Strategy,8.0
Boiling Point: Road to Hell,2005-07-08,Shooter,7.0
Salvo!,2005-08-02,Strategy,6.5
Big Mutha Truckers 2,2005-08-24,Racing,5.5
Madden NFL 06,2005-08-22,Sports,8.8
NHL 06,2005-09-09,Sports,8.5
The Suffering: Ties That Bind,2005-09-20,"Action, Adventure",8.1
Indigo Prophecy,2005-09-20,Adventure,8.4
The Sims 2: Nightlife,2005-09-12,Simulation,8.2
Ultimate Spider-Man,2005-09-30,Action,8.4
Black & White 2,2005-09-28,Strategy,8.8
Tiger Woods PGA Tour 06,2005-09-27,Sports,8.7
NIBIRU: Age of Secrets,2005-09-22,Adventure,6.8
Quake 4,2005-10-13,Shooter,8.1
Splat Magazine Renegade Paintball,2005-10-27,Shooter,4.0
Evil Dead Regeneration,2005-10-17,Action,6.6
Worms 4: Mayhem,2005-10-19,Strategy,7.5
The Movies,2005-11-08,Simulation,8.0
Bratz Rock Angelz,2005-11-08,Adventure,7.5
Mall Tycoon 3,2005-11-08,Simulation,6.8
Heroes of the Pacific,2005-11-04,"Flight, Action",8.0
Need for Speed Most Wanted [2005],2005-11-10,Racing,8.5
NBA Live 06,2005-11-14,Sports,9.0
Friends: The One With All The Trivia,2005-11-14,Trivia,5.0
Harry Potter and the Goblet of Fire,2005-11-11,"Action, Adventure",7.2
City of Villains,2005-11-18,RPG,8.0
The Matrix: Path of Neo,2005-11-17,Action,6.5
Diplomacy: The Game of International Intrigue,2005-11-17,Strategy,5.0
FIFA Soccer 06,2005-11-30,Sports,8.7
Battlefield 2: Special Forces,2005-11-29,Shooter,8.0
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",2005-12-01,"Action, Adventure",8.3
"Ed, Edd 'n Eddy: The Mis-Edventures",2005-12-01,Adventure,2.9
The Incredibles: Rise of the Underminer,2005-12-01,Action,6.0
Battle of Britain II: Wings of Victory,2005-11-28,"Flight, Simulation",8.2
Peter Jackson's King Kong,2005-11-23,Action,8.0
JetFighter 2015,2005-11-22,"Flight, Simulation",6.8
Zoo Tycoon 2: Endangered Species,2005-12-06,Simulation,6.5
Star Wars Galaxies: Trials of Obi-Wan,2005-12-05,RPG,7.8
Starship Troopers,2005-12-05,Shooter,5.0
"Stubbs the Zombie in ""Rebel without a Pulse""",2005-12-02,Action,7.5
Space Hack,2006-01-06,"Action, RPG",5.5
Law & Order: Criminal Intent,2005-12-19,Adventure,6.0
Star Wars Galaxies: Starter Kit,2005-12-13,RPG,7.7
25 To Life,2006-01-17,Shooter,3.3
80 Days [2005],2006-01-13,Adventure,7.0
Cross Racing Championship 2005,2006-01-10,Racing,7.5
WWII Tank Commander,2006-02-21,Action,5.0
Virtual Skipper 4,2006-02-28,Simulation,6.8
Squad Assault: Second Wave,2006-01-27,Strategy,7.0
Torino 2006,2006-01-26,Sports,4.4
TOCA Race Driver 3,2006-02-24,Racing,8.7
SWAT 4: The Stetchkov Syndicate,2006-03-07,Shooter,8.5
Scratches,2006-03-06,Adventure,7.7
RF Online,2006-03-28,RPG,5.5
True Crime: New York City,2006-03-28,Action,6.5
Tycoon City: New York,2006-03-15,Simulation,7.0
The Sims 2: Open for Business,2006-03-14,Simulation,7.8
Blazing Angels: Squadrons of WWII,2006-03-27,"Flight, Action",6.8
Space Rangers 2: Rise of the Dominators,2006-03-29,"Strategy, RPG",8.0
The Da Vinci Code,2006-05-23,Action,4.5
2006 FIFA World Cup,2006-04-18,Sports,8.4
Auto Assault,2006-05-01,"Action, RPG",7.5
Black & White 2: Battle of the Gods,2006-04-25,Strategy,7.0
Commandos Strike Force,2006-04-06,Shooter,7.5
Guild Wars Factions,2006-05-22,RPG,8.5
Tom Clancy's Ghost Recon Advanced Warfighter,2006-05-18,Shooter,8.1
CSI: Crime Scene Investigation: 3 Dimensions of Murder,2006-04-13,Adventure,8.6
The Movies: Stunts & Effects,2006-06-09,Simulation,8.0
Stacked with Daniel Negreanu,2006-06-01,Card,4.8
Over the Hedge,2006-06-07,Action,6.5
Battlefield 2: Armored Fury,2006-06-05,Shooter,8.0
Kao the Kangaroo Round 2,2006-05-30,Action,5.5
Pirates of the Caribbean: The Legend of Jack Sparrow,2006-08-02,"Action, Adventure",5.0
Hard Truck: Apocalypse,2006-07-18,"Racing, Action",4.0
The Ant Bully,2006-08-01,Action,5.5
WarPath,2006-07-25,Shooter,5.7
Night Watch,2006-07-13,"Strategy, RPG",6.0
Cars,2006-06-28,"Racing, Action",6.8
Soldier Elite,2006-06-28,Action,4.0
Final Fantasy XI: Treasures of Aht Urhgan,2006-07-21,RPG,8.4
Prey [2006],2006-07-10,Shooter,9.0
Rise & Fall: Civilizations at War,2006-06-13,Strategy,6.0
Moscow to Berlin: Red Siege,2006-06-30,Strategy,6.2
The Secrets of Da Vinci: The Forbidden Manuscript,2006-06-12,Adventure,7.1
Titan Quest,2006-06-23,"Action, RPG",8.1
Glory of the Roman Empire,2006-06-22,Simulation,7.6
NFL Head Coach,2006-06-20,"Sports, Simulation",7.2
LEGO Star Wars II: The Original Trilogy,2006-09-07,"Action, Adventure",8.0
Madden NFL 07,2006-08-22,Sports,8.3
Zoo Tycoon 2: African Adventure,2006-08-15,Simulation,3.5
City Life,2006-08-10,Simulation,8.0
World War II Combat: Iwo Jima,2006-08-08,Shooter,3.0
TerraWars: NY Invasion,2006-08-23,Action,2.0
FIFA Soccer 07,2006-10-09,Sports,8.5
Age of Pirates: Caribbean Tales,2006-10-09,Adventure,7.9
Bad Day L.A.,2006-09-18,Action,2.7
Tiger Woods PGA Tour 07,2006-10-06,Sports,7.5
Scarface: The World is Yours,2006-10-06,Action,8.7
Scarface: The World is Yours,2006-10-06,Action,8.7
World Series of Poker: Tournament of Champions -- 2007 Edition,2006-09-19,Card,7.2
NHL 07,2006-09-11,Sports,8.0
Barnyard,2006-09-11,Action,6.0
Big Oil,2006-09-14,Simulation,3.3
Open Season,2006-10-03,"Action, Adventure",6.0
