title,release_date,genre,developer,publisher,required_age,critic_score,critic_score_phrase,average_playtime,median_playtime,owners,price
Enemy Front,2014-06-17,Shooter,CI Games,CI Games,0,4.7,Bad,116,122,350000,15.99
1001 Spikes,2014-06-08,Platformer,"Nicalis, Inc.","Nicalis, Inc.",0,8.0,Great,214,215,75000,9.99
MouseCraft,2014-07-11,Puzzle,Crunching Koalas,Crunching Koalas,0,7.7,Good,0,0,35000,6.99
Murdered: Soul Suspect,2014-06-03,Adventure,Airtight Games,Square Enix,16,5.5,Mediocre,282,343,750000,19.99
The Incredible Adventures of Van Helsing II,2014-05-30,"Action, RPG",NeocoreGames,NeocoreGames,0,7.4,Good,312,421,350000,10.99
Tropico 5,2014-05-30,Strategy,Haemimont Games,Kalypso Media Digital,0,7.2,Good,292,364,1500000,14.99
Transistor,2014-05-20,"Action, RPG",Supergiant Games,Supergiant Games,0,9.0,Amazing,353,352,1500000,15.49
Wolfenstein: The New Order,2014-05-20,Shooter,Machine Games,Bethesda-Soft,18,7.8,Good,539,630,1500000,14.99
Bound by Flame,2014-05-12,"Action, RPG",Spiders,Focus Home Interactive,0,7.0,Good,731,731,350000,14.99
The Golf Club,2014-08-26,Sports,HB Studios,HB Studios,0,7.0,Good,0,0,35000,22.99
Tesla Effect: A Tex Murphy Adventure,2014-05-07,Adventure,Big Finish Games,SEGA,0,6.8,Okay,82,82,350000,14.99
Orbital Gear,2014-08-21,Shooter,Night Node,Night Node,0,6.5,Okay,80,87,350000,5.99
Metro: Redux,2014-08-19,Shooter,4A Games,Deep Silver,0,8.6,Great,363,328,3500000,14.99
Road Not Taken,2014-08-05,Puzzle,Spry Fox LLC,Spry Fox LLC,0,6.7,Okay,0,0,35000,10.99
Sacred 3,2014-08-05,RPG,Keen Games,Deep Silver,16,6.5,Okay,182,306,350000,10.99
Gods Will Be Watching,2014-07-25,Adventure,Deconstructeam,Devolver Digital,16,8.0,Great,155,183,350000,6.99
Abyss Odyssey,2014-07-24,Action,ACE Team,SEGA,16,6.7,Okay,173,256,350000,10.99
Ancient Space,2014-10-02,Strategy,CreativeForge Games,Paradox Interactive,0,6.6,Okay,0,0,75000,14.99
The Vanishing of Ethan Carter,2014-10-02,Adventure,The Astronauts,The Astronauts,0,8.5,Great,185,217,750000,14.99
Sherlock Holmes: Crimes & Punishments,2014-09-30,Adventure,Frogwares,Focus Home Interactive,0,7.5,Good,464,464,150000,19.99
Wasteland 2,2014-09-24,RPG,inXile Entertainment,inXile Entertainment,18,8.4,Great,564,624,750000,23.79
Fenix Rage,2014-09-24,Platformer,Green Lava Studios,Reverb Triple XP,0,6.0,Okay,0,0,35000,9.99
Endless Legend,2014-09-23,Strategy,AMPLITUDE Studios,SEGA,0,8.3,Great,1045,727,1500000,22.99
Hatoful Boyfriend,2014-09-05,Adventure,Mediatonic;Hato Moa;The Irregular Corporation,Devolver Digital,0,8.0,Great,622,245,350000,6.99
Hack 'n' Slash,2014-09-22,RPG,Double Fine Productions,Double Fine Productions,0,7.7,Good,46,46,350000,9.99
Lichdom: Battlemage,2014-08-29,"Action, RPG",Xaviant,Xaviant Games,0,6.5,Okay,351,366,150000,7.19
Styx: Master of Shadows,2014-10-14,Action,Cyanide Studio,Focus Home Interactive,0,7.2,Good,243,248,750000,24.99
Borderlands: The Pre-Sequel,2014-10-13,"Shooter, RPG",2K Australia;Gearbox Software;Aspyr (Mac);Aspyr (Linux),2K;Aspyr (Mac);Aspyr (Linux),18,8.0,Great,1661,886,3500000,29.99
Costume Quest 2,2014-10-07,RPG,Double Fine Productions,Midnight City ;Majesco Entertainment,0,7.6,Good,0,0,150000,10.99
Spacebase DF-9,2014-11-04,Simulation,Double Fine Productions,Double Fine Productions,0,6.8,Okay,228,228,150000,6.99
Alien: Isolation,2014-10-03,Action,Creative Assembly;Feral Interactive (Mac);Feral Interactive (Linux),SEGA;Feral Interactive (Mac);Feral Interactive (Linux),18,5.9,Mediocre,563,720,1500000,29.99
Call of Duty: Advanced Warfare,2014-11-03,Shooter,Sledgehammer Games;Raven Software,Activision,18,9.1,Amazing,250,267,750000,39.99
Frozen Synapse Prime,2014-11-14,Strategy,Double Eleven,Double Eleven,0,8.7,Great,0,0,75000,18.99
Lords of the Fallen,2014-10-28,"RPG, Action",CI Games;Deck 13,CI Games,16,7.4,Good,456,265,750000,23.79
Screencheat,2014-10-26,Shooter,Samurai Punk,Fellow Traveller;Samurai Punk,0,7.0,Good,122,169,350000,11.39
Gabriel Knight: Sins of the Fathers -- 20th Anniversary Edition,2014-10-24,Adventure,Phoenix Online Studios;Pinkerton Road Studio,Pinkerton Road Studio,0,7.0,Good,305,305,75000,12.99
Far Cry 4,2014-11-14,Shooter,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev",Ubisoft,0,8.5,Great,1062,977,1500000,25.99
Sid Meier's Civilization: Beyond Earth,2014-10-23,Simulation,Firaxis Games;Aspyr (Mac);Aspyr (Linux),2K;Aspyr (Mac);Aspyr (Linux),0,7.9,Good,932,1552,1500000,29.99
Randal's Monday,2014-12-01,Adventure,Nexus Game Studios,Daedalic Entertainment,0,4.5,Bad,13,13,150000,14.99
Valkyria Chronicles,2014-11-26,"Action, RPG",SEGA,SEGA,0,8.8,Great,892,1068,750000,14.99
Dungeon of the Endless,2014-11-13,"Adventure, RPG",AMPLITUDE Studios,SEGA,0,8.1,Great,648,295,750000,8.99
Depth,2014-11-12,Action,Digital Confectioners,Digital Confectioners,0,7.7,Good,791,486,1500000,14.99
A Bird Story,2014-11-26,RPG,Freebird Games,Freebird Games,0,8.8,Great,257,476,350000,2.79
The Binding of Isaac: Rebirth,2014-11-26,RPG,"Nicalis, Inc.","Nicalis, Inc.",16,9.0,Amazing,4583,3236,3500000,10.99
This War Of Mine,2014-11-25,Strategy,11 bit studios,11 bit studios,0,8.4,Great,512,347,3500000,14.99
Escape Dead Island,2014-11-18,Action,Fatshark,Deep Silver,16,6.8,Okay,0,0,75000,10.99
Blackguards 2,2015-01-16,RPG,Daedalic Entertainment,Daedalic Entertainment,0,7.8,Good,151,158,350000,11.49
The Witcher Adventure Game,2014-12-18,Board,CD PROJEKT RED;Can Explode,CD PROJEKT RED,0,6.9,Okay,26,27,150000,6.99
Neo Scavenger,2014-12-22,Strategy,Blue Bottle Games,Blue Bottle Games,0,7.9,Good,906,1252,150000,11.39
Metal Gear Solid V: Ground Zeroes,2014-12-22,"Action, Adventure",Kojima Productions,Konami Digital Entertainment,18,8.0,Great,320,198,750000,16.99
Dead State,2014-12-18,RPG,DoubleBear Productions,DoubleBear Productions,0,6.8,Okay,1264,1264,75000,14.99
Xeodrifter,2014-12-16,"Action, Adventure",Renegade Kid,Good Shepherd Entertainment,0,6.5,Okay,0,0,75000,6.99
The Talos Principle,2014-12-09,"Puzzle, Adventure",Croteam,Devolver Digital;Croteam,0,8.3,Great,230,186,1500000,29.99
The Crew,2014-12-02,"Racing, Action",Ivory Tower in collaboration with Ubisoft Reflections,Ubisoft,0,6.0,Okay,657,725,350000,25.99
Grow Home,2015-02-07,Platformer,"Reflections, a Ubisoft Studio",Ubisoft,0,8.8,Great,142,162,350000,6.69
Gravity Ghost,2015-02-05,Other,Ivy Games,Ivy Games,0,7.4,Good,0,0,10000,10.99
Apotheon,2015-02-05,"Action, RPG",Alientrap,Alientrap,0,6.9,Okay,716,716,350000,10.99
Life is Strange -- Episode 1: Chrysalis,2015-02-02,Adventure,DONTNOD Entertainment;Feral Interactive (Mac);Feral Interactive (Linux),Square Enix;Feral interactive (Mac);Feral Interactive (Linux),16,6.5,Okay,412,145,7500000,0.0
Supreme League of Patriots,2015-01-31,Adventure,No Bull Intentions,Phoenix Online Publishing,0,5.7,Mediocre,0,0,35000,4.79
StarDrive 2,2015-04-20,Strategy,Zero Sum Games,Iceberg Interactive,0,6.9,Okay,833,833,75000,22.99
Grand Theft Auto V,2015-04-14,"Action, Adventure",Rockstar North,Rockstar Games,18,10.0,Masterpiece,9837,4834,15000000,24.99
I Am Bread,2015-04-13,Puzzle,Bossa Studios,Bossa Studios,0,7.2,Good,146,168,750000,9.99
Grim Fandango Remastered,2015-01-27,Adventure,Double Fine Productions,Double Fine Productions,0,9.3,Amazing,285,322,750000,10.99
Dying Light,2015-01-27,Action,Techland,Techland Publishing,18,8.5,Great,2033,1299,3500000,24.99
Grey Goo,2015-01-23,Strategy,Petroglyph,Grey Box,0,7.6,Good,434,474,350000,22.99
Citizens of Earth,2015-01-23,RPG,Eden Industries,SEGA,0,6.5,Okay,529,579,150000,9.99
Invisible Inc.,2015-05-12,Strategy,Klei Entertainment,Klei Entertainment,0,8.5,Great,325,405,750000,14.99
Titan Souls,2015-04-13,RPG,Acid Nerve,Devolver Digital,0,8.0,Great,46,67,350000,10.99
Audiosurf 2,2015-05-29,"Music, Action",Dylan Fitterer,Dylan Fitterer,0,7.5,Good,507,507,350000,10.99
Aaru's Awakening,2015-03-03,Platformer,Lumenox ehf,Lumenox ehf,0,6.7,Okay,0,0,35000,10.99
Oblitus,2015-02-28,Action,Connor Ullmann,Adult Swim Games,0,7.0,Good,0,0,10000,10.99
Frozen Cortex,2015-02-26,"Strategy, Simulation",Mode 7,Mode 7,0,8.1,Great,0,0,35000,18.99
Homeworld Remastered Collection,2015-02-24,Strategy,Gearbox Software;Aspyr (Mac),Gearbox Publishing;Aspyr (Mac),0,9.0,Amazing,353,419,750000,26.99
Hand of Fate,2015-02-21,"Card, Battle",Defiant Development,Defiant Development,0,7.0,Good,371,297,750000,14.99
The Witcher 3: Wild Hunt,2015-05-12,RPG,CD PROJEKT RED,CD PROJEKT RED,0,9.3,Amazing,3068,2002,7500000,24.99
Wolfenstein: The Old Blood,2015-05-08,Shooter,MachineGames,Bethesda Softworks,18,7.0,Good,245,276,750000,14.99
Pillars of Eternity,2015-03-27,RPG,Obsidian Entertainment,Paradox Interactive,0,9.0,Amazing,1710,2177,1500000,22.99
Sid Meier's Starships,2015-03-14,Strategy,Firaxis Games,2K,0,6.5,Okay,0,0,350000,10.99
Magicka 2,2015-05-28,"Adventure, RPG",Pieces Interactive,Paradox Interactive,0,7.7,Good,198,166,1500000,10.99
Magnetic: Cage Closed,2015-05-27,Puzzle,Guru Games,Good Shepherd Entertainment,0,6.5,Okay,0,0,35000,11.99
Sunless Sea,2015-02-19,Adventure,Failbetter Games,Failbetter Games,0,8.3,Great,417,573,750000,13.99
The Escapists,2015-02-13,"Action, Strategy",Mouldy Toof Studios,Team17 Digital Ltd,0,7.6,Good,826,590,1500000,12.99
Fahrenheit: Indigo Prophecy Remastered,2015-02-12,Adventure,Aspyr;Quantic Dream (original release),Aspyr,0,6.2,Okay,34,34,350000,6.99
Hotline Miami 2: Wrong Number,2015-03-10,Action,Dennaton Games,Devolver Digital,0,8.8,Great,447,309,1500000,11.99
Cities: Skylines,2015-03-10,Simulation,Colossal Order Ltd.,Paradox Interactive,0,8.5,Great,3225,444,7500000,22.99
Sunset,2015-05-21,Adventure,Tale of Tales,Tale of Tales,0,8.0,Great,0,0,10000,14.99
Total War: Attila,2015-02-12,Strategy,CREATIVE ASSEMBLY,SEGA,0,8.1,Great,2147,2926,1500000,29.99
Halo: Spartan Strike,2015-04-21,Shooter,343 Industries;Vanguard Games,Microsoft Studios,0,7.2,Good,6,6,150000,1.99
Dungeons 2,2015-04-21,Strategy,Realmforge Studios,Kalypso Media Digital,0,5.2,Mediocre,282,296,1500000,14.99
Crypt of the Necrodancer,2015-04-21,"Music, Adventure",Brace Yourself Games,Brace Yourself Games;Klei Entertainment,0,8.8,Great,326,290,1500000,10.99
Kerbal Space Program,2015-05-15,Simulation,Squad,Private Division ,0,9.0,Amazing,9223,351,3500000,29.99
Galactic Civilizations III,2015-05-14,Strategy,Stardock Entertainment,Stardock Entertainment,0,8.6,Great,199,264,750000,23.79
Rocket League,2015-07-15,Sports,"Psyonix, Inc.","Psyonix, Inc.",0,8.0,Great,5825,1462,7500000,14.99
Legends of Eisenwald,2015-07-09,RPG,Aterdux Entertainment,Aterdux Entertainment,0,7.3,Good,506,674,150000,14.99
Her Story,2015-06-30,Adventure,Sam Barlow,Sam Barlow,0,8.5,Great,123,146,350000,4.99
Beyond Eyes,2015-08-07,Adventure,Tiger and Squid;Team17 Digital Ltd,Team17 Digital Ltd,0,5.5,Mediocre,763,763,150000,9.99
Submerged,2015-08-07,Adventure,Uppercut Games Pty Ltd,Uppercut Games Pty Ltd,0,6.8,Okay,317,317,350000,14.99
The Magic Circle,2015-07-31,Adventure,Question,Question,0,7.8,Good,75,75,150000,14.99
Guild of Dungeoneering,2015-07-28,RPG,Gambrinous,Versus Evil,0,7.0,Good,542,549,350000,10.99
LEGO Jurassic World,2015-06-22,"Action, Adventure",TT Games Ltd;Feral Interactive (Mac),Warner Bros. Interactive Entertainment;Feral Interactive (Mac),0,7.6,Good,502,619,350000,15.99
F1 2015,2015-07-17,Racing,Codemasters;Feral Interactive (Linux),Codemasters;Feral Interactive (Linux),0,4.8,Bad,305,372,3500000,29.99
Fallout 4,2015-11-09,RPG,Bethesda Game Studios,Bethesda Softworks,18,9.5,Amazing,4822,2904,7500000,19.99
Anno 2205,2015-11-04,Simulation,Blue Byte,Ubisoft,0,7.0,Good,1930,3613,350000,33.99
Minecraft: Story Mode -- Episode 2: Assembly Required,2015-10-30,Adventure,Telltale Games,Telltale Games,0,5.6,Mediocre,399,432,350000,18.99
Warhammer: End Times -- Vermintide,2015-10-29,Action,Fatshark,Fatshark,16,7.2,Good,1200,608,1500000,22.99
Dirt Rally,2015-12-22,Racing,Codemasters Racing Studio;Feral Interactive (Linux);Feral Interactive (Mac),Codemasters;Feral Interactive (Linux);Feral Interactive (Mac),0,8.9,Great,488,251,1500000,24.99
Nuclear Throne,2015-12-16,Action,Vlambeer,Vlambeer,0,9.0,Amazing,682,491,750000,9.29
The Beginner's Guide,2015-10-07,Adventure,Everything Unlimited Ltd.,Everything Unlimited Ltd.,0,8.0,Great,120,120,350000,6.99
Just Cause 3,2015-11-30,Action,Avalanche Studios,Square Enix,18,8.0,Great,2086,438,3500000,11.99
Prison Architect,2015-10-06,Strategy,Introversion Software,Paradox Interactive,0,8.3,Great,1472,717,3500000,23.79
Expand,2015-10-02,Puzzle,Chris Johnson;Chris Larkin,Chris Johnson;Chris Larkin,0,8.0,Great,0,0,75000,4.79
Might & Magic Heroes VII,2015-10-02,Strategy,Limbic Entertainment,Ubisoft,0,6.4,Okay,0,0,150000,33.99
Tom Clancy's Rainbow Six Siege,2015-11-30,Shooter,Ubisoft Montreal,Ubisoft,0,7.9,Good,7504,2543,7500000,16.99
Hard West,2015-11-18,Strategy,CreativeForge Games,Good Shepherd Entertainment,0,7.3,Good,237,435,350000,14.99
Jotun,2015-09-30,Action,Thunder Lotus Games,Thunder Lotus Games,0,8.0,Great,203,216,3500000,11.39
Assault Android Cactus,2015-09-28,Shooter,Witch Beam,Witch Beam,0,8.8,Great,379,379,150000,10.99
Kingdom,2015-10-21,Adventure,Noio;Licorice,Raw Fury,0,7.7,Good,250,199,3500000,3.99
Soma,2015-09-21,Adventure,Frictional Games,Frictional Games,0,8.1,Great,258,347,750000,22.99
Broforce,2015-10-20,Action,Free Lives,Devolver Digital,0,8.8,Great,498,459,1500000,11.99
Rebel Galaxy,2015-10-16,Simulation,Double Damage Games,Double Damage Games,0,8.0,Great,618,912,750000,14.99
Mushroom 11,2015-10-15,Platformer,Untame,Untame,0,9.0,Amazing,373,455,150000,10.99
Darkest Dungeon,2016-01-27,RPG,Red Hook Studios,Red Hook Studios,0,9.1,Amazing,1121,619,3500000,18.99
The Witness,2016-01-25,Puzzle,"Thekla, Inc.","Thekla, Inc.",0,10.0,Masterpiece,630,674,750000,29.99
Lovers in a Dangerous Spacetime,2015-09-16,Platformer,Asteroid Base,Asteroid Base,0,8.5,Great,249,249,350000,10.99
Minecraft: Story Mode -- Episode 1: The Order of the Stone,2015-10-13,Adventure,Telltale Games,Telltale Games,0,7.3,Good,399,432,350000,18.99
Homeworld: Deserts of Kharak,2016-01-23,Strategy,Blackbird Interactive,Gearbox Publishing,0,8.8,Great,26,26,350000,29.99
Tharsis,2016-01-20,Strategy,Choice Provisions,Choice Provisions,0,4.8,Bad,272,272,350000,10.99
Gemini: Heroes Reborn,2016-01-20,Adventure,Phosphor Games,Phosphor Games,16,6.4,Okay,0,0,75000,3.99
Street Fighter V,2016-02-15,Fighting,Capcom,Capcom,0,8.0,Great,793,1203,750000,15.99
Layers of Fear,2016-02-14,Adventure,Bloober Team SA,Aspyr,0,5.8,Mediocre,227,242,3500000,14.99
Shadowrun: Hong Kong,2015-09-11,RPG,Harebrained Schemes,Paradox Interactive,0,8.0,Great,438,767,750000,14.99
Armello,2015-09-09,Board,League of Geeks,League of Geeks,0,5.6,Mediocre,1145,1606,750000,14.99
Pony Island,2016-01-19,Puzzle,Daniel Mullins Games,Daniel Mullins Games,0,9.0,Amazing,224,289,350000,3.99
Punch Club,2016-01-15,"Fighting, Simulation",Lazy Bear Games,tinyBuild,0,6.5,Okay,478,378,750000,6.99
"That Dragon, Cancer",2016-01-15,Adventure,Numinous Games,Numinous Games,0,8.0,Great,0,0,35000,6.99
OxenFree,2016-01-15,Adventure,Night School Studio,Night School Studio,0,8.2,Great,258,382,350000,14.99
Firewatch,2016-02-08,Adventure,Campo Santo,Panic;Campo Santo,0,9.3,Amazing,206,257,750000,14.99
XCOM 2,2016-02-01,Strategy,Firaxis Games;Feral Interactive (Mac);Feral Interactive (Linux),2K;Feral Interactive (Mac);Feral Interactive (Linux),0,9.3,Amazing,1891,1985,1500000,34.99
Metal Gear Solid V: The Phantom Pain,2015-08-24,Action,Konami Digital Entertainment,Konami Digital Entertainment,18,10.0,Masterpiece,3007,2478,1500000,24.99
Volume,2015-08-18,Action,Bithell Games,Bithell Games,0,8.1,Great,76,76,150000,14.99
Bombshell,2016-01-29,Action,Slipgate Ironworks™,3D Realms,0,6.9,Okay,0,0,35000,29.99
Virginia,2016-09-22,Adventure,Variable State,505 Games,0,8.5,Great,219,219,150000,6.99
Rive,2016-09-14,Shooter,Two Tribes,Two Tribes Publishing,0,6.5,Okay,95,161,350000,10.99
Pac-Man Championship Edition 2,2016-09-13,Action,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,0,7.5,Good,27,27,75000,9.99
Project Highrise,2016-09-09,Simulation,SomaSim,Kasedo Games,0,7.0,Good,224,351,350000,14.99
The Turing Test,2016-08-31,Puzzle,Bulkhead Interactive,Square Enix,0,7.0,Good,357,434,350000,14.99
1979 Revolution,2016-04-21,"Action, Adventure",iNK Stories;N-Fusion Interactive,iNK Stories,0,8.0,Great,0,0,75000,4.79
The Banner Saga 2,2016-04-19,"Strategy, RPG",Stoic,Versus Evil,0,8.9,Great,331,331,350000,18.74
Stardew Valley,2016-03-25,"RPG, Simulation",ConcernedApe,ConcernedApe,0,8.8,Great,2868,1728,3500000,10.99
Hyper Light Drifter,2016-04-14,"Action, RPG",Heart Machine,Heart Machine,0,7.6,Good,275,354,750000,14.99
Tom Clancy's The Division,2016-03-17,Shooter,Massive Entertainment,Ubisoft,18,6.7,Okay,4252,1952,3500000,41.99
Salt and Sanctuary,2016-05-23,"Action, RPG",Ska Studios,Ska Studios,16,8.6,Great,623,813,350000,13.59
Enter the Gungeon,2016-04-05,Shooter,Dodge Roll,Devolver Digital,0,8.5,Great,1625,1060,1500000,10.99
Dark Souls III,2016-04-04,"Action, RPG","FromSoftware, Inc.","FromSoftware, Inc.;BANDAI NAMCO Entertainment",0,9.5,Amazing,4222,1776,3500000,39.99
The Technomancer,2016-06-28,RPG,Spiders,Focus Home Interactive,0,4.9,Bad,67,67,150000,23.99
Alekhine's Gun,2016-03-11,Action,Maximum Games,Maximum Games;KISS ltd,0,3.0,Awful,0,0,35000,29.99
Grim Dawn,2016-03-07,"Action, RPG",Crate Entertainment,Crate Entertainment,0,8.7,Great,3651,1539,1500000,19.99
Total War: Warhammer,2016-05-19,Strategy,CREATIVE ASSEMBLY;Feral Interactive (Linux);Feral Interactive (Mac),SEGA;Feral Interactive (Linux);Feral Interactive (Mac),0,8.6,Great,3610,4356,1500000,39.99
Homefront: The Revolution,2016-05-17,Shooter,Dambuster Studios,Deep Silver,18,5.0,Mediocre,408,484,750000,24.99
Doom,2016-05-16,Shooter,id Software,Bethesda Softworks,18,7.1,Good,751,560,3500000,14.99
Stellaris,2016-05-09,Strategy,Paradox Development Studio,Paradox Interactive,0,6.3,Okay,2729,1563,3500000,34.99
Adr1ft,2016-03-28,Adventure,THREE ONE ZERO,505 Games,0,6.0,Okay,0,0,75000,14.99
The Flame in the Flood,2016-03-03,Adventure,The Molasses Flood,The Molasses Flood;Curve Digital,0,7.3,Good,125,125,750000,14.99
Devil Daggers,2016-02-27,Shooter,Sorath,Sorath,0,8.5,Great,216,399,350000,3.99
Superhot,2016-02-25,Action,SUPERHOT Team,SUPERHOT Team,0,7.5,Good,212,203,1500000,17.99
Battleborn,2016-05-06,Shooter,Gearbox Software,2K,0,7.1,Good,652,752,750000,0.0
Hearts of Iron IV,2016-06-06,Strategy,Paradox Development Studio,Paradox Interactive,0,9.0,Amazing,9413,4181,1500000,34.99
Dangerous Golf,2016-06-03,"Sports, Action",Three Fields Entertainment,Team17 Digital Ltd,0,6.0,Okay,1,1,150000,14.99
Battlefleet Gothic: Armada,2016-04-22,Strategy,Tindalos Interactive,Focus Home Interactive,0,7.1,Good,856,1647,350000,24.99
Master of Orion,2016-08-26,Strategy,NGD Studios,Wargaming Labs,0,7.1,Good,0,0,350000,22.99
Quadrilateral Cowboy,2016-07-28,Puzzle,Blendo Games,Blendo Games,0,8.5,Great,316,316,75000,14.99
F1 2016,2016-08-24,Racing,Codemasters;Feral Interactive (Mac),Codemasters;Feral Interactive (Mac),0,8.8,Great,1397,1777,350000,39.99
Deus Ex: Mankind Divided,2016-08-19,"Action, RPG",Eidos Montreal;Feral Interactive (Linux);Feral Interactive (Mac),Square Enix;Feral Interactive (Linux);Feral Interactive (Mac),18,9.2,Amazing,798,977,1500000,19.99
Necropolis,2016-07-14,"Action, Adventure",Harebrained Schemes,Paradox Interactive;Bandai Namco,0,6.5,Okay,27,27,350000,22.99
Furi,2016-07-13,Action,The Game Bakers,The Game Bakers,0,6.8,Okay,535,682,750000,14.99
Grow Up,2016-08-18,Platformer,"Reflections, a Ubisoft Studio",Ubisoft,0,7.8,Good,323,323,75000,8.59
Starbound,2016-07-28,Action,Chucklefish,Chucklefish,0,9.1,Amazing,3556,2055,3500000,11.99
Inside,2016-06-28,Adventure,Playdead,Playdead,0,10.0,Masterpiece,297,408,750000,14.99
