title,release_date,genre,developer,publisher,required_age,critic_score,critic_score_phrase,average_playtime,median_playtime,owners,price
Europa Universalis: Rome -- Vae Victis,2008-12-01,Strategy,Paradox Development Studio,Paradox Interactive,0,7.5,Good,4975,4975,75000,7.99
Prince of Persia,2008-11-26,Platformer,Ubisoft Montreal,Ubisoft,0,9.3,Amazing,305,399,350000,8.59
Legendary,2008-12-05,Shooter,Spark Unlimited,SouthPeak Games,0,2.5,Painful,90,90,350000,1.69
Grand Theft Auto IV,2008-12-02,"Action, Adventure",Rockstar North;Rockstar Toronto,Rockstar Games,0,9.2,Amazing,1255,634,3500000,19.99
Rise of the Argonauts,2008-12-17,"Action, RPG",Liquid Entertainment,Codemasters,0,6.5,Okay,88,147,350000,4.99
Defense Grid: The Awakening,2008-12-22,"Strategy, RPG",Hidden Path Entertainment,Hidden Path Entertainment,0,8.0,Great,455,686,750000,6.99
Saints Row 2,2009-01-06,Action,Volition,Deep Silver,0,6.3,Okay,322,81,3500000,9.99
Mirror's Edge,2009-01-13,"Action, Adventure",DICE,Electronic Arts,0,8.5,Great,260,172,3500000,9.99
Luxor: Quest for the Afterlife,2009-01-12,Puzzle,MumboJumbo,MumboJumbo,0,6.0,Okay,0,0,10000,5.99
F.E.A.R. 2: Project Origin,2009-02-10,Shooter,Monolith,Warner Bros. Interactive Entertainment,0,8.3,Great,301,367,1500000,9.99
Puzzle Quest: Galactrix,2009-03-02,Puzzle,Infinite Interactive,"D3Publisher of America, Inc.",0,8.5,Great,0,0,35000,6.99
Drakensang: The Dark Eye,2009-02-23,RPG,Radon Labs,DTP Entertainment,0,7.6,Good,0,0,150000,6.99
"Warhammer 40,000: Dawn of War II",2009-02-17,Strategy,Relic Entertainment;Feral Interactive (Mac/Linux),SEGA;Feral Interactive (Mac/Linux),0,9.0,Amazing,628,293,3500000,14.99
Tom Clancy's EndWar,2009-03-03,Strategy,Ubisoft  Shanghaï,Ubisoft,0,7.0,Good,384,655,150000,8.59
Watchmen: The End is Nigh -- Part 1,2009-03-05,Action,Deadline Games,Warner Bros. Interactive Entertainment,0,5.5,Mediocre,0,0,35000,3.99
The Maw,2009-03-11,Action,Twisted Pixel Games,Twisted Pixel Games,0,8.0,Great,14,14,75000,8.99
Ceville,2009-03-27,Adventure,Realmforge Studios,Assemble Entertainment,0,9.0,Amazing,0,0,35000,4.79
Dark Sector,2009-03-25,Shooter,Digital Extremes,ND Games,0,7.7,Good,0,0,75000,6.99
The Path,2009-03-24,Action,Tale of Tales,Tale of Tales,0,7.7,Good,49,64,150000,6.99
Grand Ages: Rome,2009-03-20,Strategy,Haemimont Games,Kalypso Media Digital,0,6.8,Okay,319,319,350000,6.99
Braid,2009-04-13,Platformer,Number None,Number None,0,8.8,Great,178,251,1500000,10.99
Flock,2009-04-15,"Puzzle, Action",Proper Games,Capcom,0,6.9,Okay,0,0,35000,3.49
Zeno Clash,2009-04-24,Action,ACE Team,ACE Team,0,8.4,Great,307,307,350000,6.99
Death Track: Resurrection,2009-04-08,Racing,Sky Fallen,1C Entertainment,0,6.7,Okay,0,0,35000,1.99
Company of Heroes: Tales of Valor,2009-04-14,Strategy,Relic Entertainment,SEGA,0,7.0,Good,226,133,3500000,9.99
And Yet It Moves,2009-04-21,Platformer,Broken Rules,Broken Rules,0,8.4,Great,17,22,350000,6.99
Elven Legacy,2009-04-15,Strategy,1C:InoCo,1C Entertainment,0,7.7,Good,27,27,75000,3.99
Velvet Assassin,2009-05-07,Action,Replay Studios,Missing Link Games,0,5.0,Mediocre,9,10,350000,1.69
Alien Shooter: Revisited,2009-06-11,Shooter,Sigma Team Inc.,Sigma Team Inc.,0,7.0,Good,0,0,350000,3.99
Alien Shooter: Revisited,2009-06-11,Shooter,Sigma Team Inc.,Sigma Team Inc.,0,7.0,Good,0,0,350000,3.99
Helldorado,2009-05-26,Strategy,Spellbound,Black Forest Games;THQ Nordic,0,5.7,Mediocre,0,0,35000,6.99
Alien Shooter 2: Reloaded,2009-06-15,"Action, RPG",Sigma Team Inc.,Sigma Team Inc.,0,7.5,Good,169,169,350000,3.99
Prototype,2009-06-10,Action,Radical Entertainment,Activision,0,7.5,Good,645,1001,750000,14.99
Damnation,2009-06-15,Shooter,Blue Omega Entertainment,Codemasters,0,2.5,Painful,0,0,75000,6.99
NecroVisioN,2009-05-20,Shooter,The Farm 51,1C Entertainment,0,6.9,Okay,113,113,150000,3.99
Killing Floor,2009-05-20,Shooter,Tripwire Interactive,Tripwire Interactive,0,7.5,Good,1328,306,3500000,14.99
Delta Force: Xtreme 2,2009-06-12,Shooter,NovaLogic,NovaLogic;THQ Nordic,0,4.8,Bad,0,0,35000,3.99
Delta Force: Xtreme 2,2009-06-12,Shooter,NovaLogic,NovaLogic;THQ Nordic,0,4.8,Bad,0,0,35000,6.99
