title,release_date,genre,critic_score,critic_score_phrase,developer,publisher,required_age,average_playtime,median_playtime,owners,price,main_story,main_extra,completionist,all_styles
Out of the Park Baseball 15,2014-08-09,"Sports,Simulation",8.5,Great,Out of the Park Developments,Out of the Park Developments,0,0,0,150000,14.99,6.04,0.0,0.0,6.04
Outlast,2013-09-04,"Action,Adventure",7.8,Good,Red Barrels,Red Barrels,0,751,166,3500000,15.49,5.15,7.25,11.51,6.32
Overclocked: A History of Violence,2008-04-10,Adventure,7.0,Good,House of Tales,HandyGames,0,0,0,10000,13.99,8.52,8.15,8.53,8.44
Overlord,2007-07-09,Adventure,8.0,Great,Triumph Studios;Virtual Programming,Codemasters,0,304,304,1500000,3.49,17.16,20.6,27.28,20.36
Overlord II,2009-06-25,Adventure,6.3,Okay,Triumph Studios;Virtual Programming,Codemasters,0,197,119,1500000,6.99,16.42,20.39,26.85,20.17
OxenFree,2016-01-15,Adventure,8.2,Great,Night School Studio,Night School Studio,0,258,382,350000,14.99,4.44,5.66,13.15,5.41
Pac-Man Championship Edition 2,2016-09-13,Action,7.5,Good,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,0,27,27,75000,9.99,4.5,10.88,14.4,6.5
Pacific Storm,2006-10-11,Strategy,8.0,Great,Buka Entertainment;Lesta Studio,Buka Entertainment,0,0,0,75000,5.59,14.38,0.0,0.0,14.38
"Papers, Please",2013-08-12,Simulation,8.7,Great,Lucas Pope,3909,0,674,214,3500000,6.99,5.01,8.15,16.08,7.28
Papo & Yo,2013-04-18,Adventure,4.0,Bad,Minority Media Inc.,Minority Media,0,158,158,350000,10.99,3.37,3.95,6.09,3.8
Path of Exile,2013-11-09,"Action,RPG",8.8,Great,Grinding Gear Games,Grinding Gear Games,0,5263,492,15000000,0.0,29.55,113.09,790.88,102.21
Patrician III,2003-10-15,Simulation,9.2,Amazing,Ascaron Entertainment ltd.,Kalypso Media Digital,0,149,149,150000,3.99,55.58,60.5,0.0,58.61
Patrician IV: Conquest By Trade,2010-10-14,Simulation,6.5,Okay,Gaming Minds Studios,Kalypso Media Digital,0,0,0,150000,9.99,6.23,31.1,0.0,15.79
PayDay 2,2013-08-13,Shooter,8.0,Great,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,18,3975,890,15000000,7.49,27.06,153.89,540.68,137.75
Peggle Nights,2008-09-25,Puzzle,8.4,Great,"PopCap Games, Inc.","PopCap Games, Inc.",0,237,237,350000,4.25,3.64,6.73,13.81,4.2
Penumbra: Requiem,2008-09-12,Action,7.5,Good,Frictional Games,Frictional Games,0,188,189,350000,0.0,3.15,3.47,3.95,3.34
Perimeter,2004-06-29,Strategy,8.0,Great,K-D Lab,1C Entertainment,0,243,257,75000,2.79,25.32,0.0,0.0,25.32
Perimeter: Emperor's Testament,2006-09-05,Strategy,7.6,Good,K-D Lab,1C Entertainment,0,0,0,35000,2.79,27.0,0.0,0.0,27.0
Pid,2012-10-30,Platformer,7.8,Good,Might and Delight,Might and Delight,0,61,65,750000,6.99,9.48,12.3,17.62,10.56
Pillars of Eternity,2015-03-27,RPG,9.0,Amazing,Obsidian Entertainment,Paradox Interactive,0,1710,2177,1500000,22.99,36.12,64.12,109.07,65.9
Pineapple Smash Crew,2012-02-10,Shooter,5.5,Mediocre,RichMakeGame,RichMakeGame,0,0,0,35000,6.99,2.8,3.31,11.83,3.97
Pirates of the Caribbean: At World's End,2007-05-25,Adventure,6.5,Okay, Eurocom Entertainment Software,Disney Interactive,16,0,0,35000,15.49,6.14,11.03,16.33,7.44
Plain Sight,2010-07-23,Action,7.0,Good,Beatnik Games,Beatnik Games,0,0,0,150000,3.99,1.0,0.0,0.0,1.0
Planetary Annihilation,2014-09-17,Strategy,4.8,Bad,Planetary Annihilation Inc,Planetary Annihilation Inc,0,408,579,750000,30.99,5.69,19.87,24.05,10.29
PlanetSide 2,2012-11-30,Shooter,9.0,Amazing,Daybreak Game Company,Daybreak Game Company,0,1051,150,7500000,0.0,27.2,464.82,6371.06,225.69
Pony Island,2016-01-19,Puzzle,9.0,Amazing,Daniel Mullins Games,Daniel Mullins Games,0,224,289,350000,3.99,2.4,2.93,4.67,2.89
Port Royale,2003-06-13,Strategy,8.4,Great,Ascaron Entertainment ltd.,Strategy First,0,203,203,75000,2.99,14.84,22.39,0.0,18.51
Portal,2007-10-09,Shooter,8.2,Great,Valve,Valve,0,288,137,15000000,7.19,3.12,5.25,10.36,3.91
Portal 2,2011-04-18,Shooter,9.5,Amazing,Valve,Valve,0,1102,520,15000000,7.19,8.57,13.71,22.47,10.58
Post Mortem,2003-02-25,Adventure,7.9,Good,MC2,Microids,0,0,0,150000,5.59,6.49,8.23,8.31,7.29
Postal 2,2003-04-03,Shooter,5.5,Mediocre,Running With Scissors,Running With Scissors,18,257,172,1500000,6.99,7.0,12.24,31.57,10.61
Postal III,2012-01-03,Shooter,5.5,Mediocre,Trashmasters,Akella,18,411,411,75000,8.99,5.3,6.42,11.0,6.07
Pound of Ground,2010-11-10,Shooter,3.5,Awful,Centauri Production,Bohemia Interactive,0,0,0,35000,8.99,6.9,0.0,8.0,7.45
Praetorians,2003-03-13,Strategy,8.9,Great,Pyro Studios,Kalypso Media Digital,0,1,1,75000,3.99,17.22,26.94,36.67,25.47
Primal Carnage,2012-11-05,Shooter,7.6,Good,Lukewarm Media,Reverb Triple XP;Circle 5,0,423,470,350000,5.59,6.01,10.0,20.0,11.2
Primordia,2013-01-11,Adventure,6.8,Okay,Wormwood Studios,Wadjet Eye Games,0,234,394,150000,6.99,6.06,7.41,8.82,7.21
Prince of Persia: The Sands of Time,2003-12-09,"Action,Adventure",8.8,Great,Kudosoft,Ubisoft,0,167,167,350000,8.59,8.64,9.69,10.31,9.18
Prince of Persia: Warrior Within,2004-12-01,"Action,Adventure",8.6,Great,Ubisoft,Ubisoft,0,307,312,350000,8.59,12.21,14.92,17.02,14.07
Prince of Persia: The Two Thrones,2005-12-12,Action,9.0,Amazing,Ubisoft Montreal,Ubisoft,0,205,205,350000,8.59,9.82,10.52,12.24,10.2
Prince of Persia,2008-11-26,Platformer,9.3,Amazing,Ubisoft Montreal,Ubisoft,0,305,399,350000,8.59,11.43,14.18,17.32,12.96
Prince of Persia: The Forgotten Sands,2010-06-09,Action,8.0,Great,Ubisoft Montreal,Ubisoft,0,328,328,350000,8.59,7.88,8.93,10.63,8.3
