title,release_date,genre,critic_score,critic_score_phrase,developer,publisher,required_age,average_playtime,median_playtime,owners,price,main_story,main_extra,completionist,all_styles
The Golf Club,2014-08-26,Sports,7.0,Good,HB Studios,HB Studios,0,0,0,35000,22.99,9.83,12.32,14.0,12.18
The Great Escape,2003-08-04,"Action,Adventure",5.0,Mediocre,XiNFiNiTY Games,OtakuMaker SARL,0,240,246,35000,2.79,8.76,9.0,0.0,8.81
The Haunted: Hells Reach,2011-11-01,Shooter,5.0,Mediocre,KTX Software,Signo & Arte,0,285,333,75000,5.99,25.0,38.0,51.0,38.0
The Incredible Adventures of Van Helsing,2013-06-07,"Action,RPG",7.0,Good,NeocoreGames,NeocoreGames,0,572,720,750000,10.99,12.8,17.72,33.29,17.27
The Incredible Adventures of Van Helsing II,2014-05-30,"Action,RPG",7.4,Good,NeocoreGames,NeocoreGames,0,312,421,350000,10.99,10.51,16.49,37.38,14.87
The Incredibles,2004-11-18,Action,6.5,Okay,TT Games;Feral Interactive (Mac),Warner Bros. Interactive Entertainment;Feral Interactive (Mac),0,0,0,10000,34.99,5.4,6.39,6.77,5.87
The Kings' Crusade,2010-11-02,Strategy,5.0,Mediocre,NeoCoreGames,Paradox Interactive,0,0,0,75000,7.99,5.88,0.0,0.0,5.88
The Last Federation,2014-04-29,Strategy,6.9,Okay,"Arcen Games, LLC","Arcen Games, LLC",0,0,0,75000,14.99,6.85,8.3,0.0,7.09
The LEGO Movie Videogame,2014-02-13,"Action,Adventure",6.5,Okay,TT Fusion;Traveller's Tales;Feral Interactive (Mac),Warner Bros. Interactive Entertainment;Feral Interactive (Mac),0,570,570,350000,14.99,7.67,11.44,17.55,12.64
The Lord of the Rings: Conquest,2009-01-16,Action,7.0,Good,Fantasy Flight Interactive,Asmodee Digital,0,0,0,35000,14.49,5.93,8.84,10.54,7.12
The Lord of the Rings Online: Riders of Rohan,2012-10-26,RPG,8.3,Great,"Standing Stone Games, LLC","Standing Stone Games, LLC",0,892,300,3500000,0.0,43.0,0.0,0.0,43.0
The Lost Crown: A Ghost-hunting Adventure,2008-03-24,Adventure,7.0,Good,Darkling Room,Iceberg Interactive,0,0,0,75000,6.99,18.95,19.77,21.14,19.83
The Magic Circle,2015-07-31,Adventure,7.8,Good,Question,Question,0,75,75,150000,14.99,3.57,4.54,9.08,4.66
The Maw,2009-03-11,Action,8.0,Great,Twisted Pixel Games,Twisted Pixel Games,0,14,14,75000,8.99,3.09,3.89,5.05,3.93
The Moment of Silence,2005-03-04,Adventure,6.9,Okay,House of Tales,HandyGames,0,0,0,10000,13.99,11.58,12.78,15.12,12.62
The Night of the Rabbit,2013-06-07,Adventure,7.9,Good,Daedalic Entertainment,Daedalic Entertainment,0,96,112,350000,16.99,9.89,14.09,15.47,13.59
The Park,2016-05-04,Adventure,7.0,Good,Funcom,Funcom,0,0,0,150000,9.99,1.51,1.75,1.84,1.64
The Path,2009-03-24,Action,7.7,Good,Tale of Tales,Tale of Tales,0,49,64,150000,6.99,2.96,3.83,6.02,3.42
The Pinball Arcade,2013-11-19,Pinball,9.0,Amazing,"FarSight Studios, Inc.","FarSight Studios, Inc.",0,0,0,10000,0.0,1.02,2.04,50.0,3.38
The Political Machine,2004-09-20,Strategy,7.9,Good,Stardock Entertainment,Stardock Entertainment,0,3,3,75000,6.99,0.0,16.74,0.0,16.74
The Political Machine 2012,2012-08-09,Strategy,6.5,Okay,Stardock Entertainment,Stardock Entertainment,0,3,3,75000,6.99,2.06,2.45,10.29,5.03
The Secret of Monkey Island: Special Edition,2009-07-15,Adventure,8.7,Great,LucasArts,LucasArts;Lucasfilm;Disney Interactive,0,58,94,750000,7.19,6.64,7.32,7.55,7.01
The Settlers: Heritage of Kings,2005-03-04,Strategy,6.5,Okay,Ubisoft Blue Byte,Ubisoft,0,0,0,10000,9.99,25.24,30.84,39.16,30.13
The Settlers 7: Paths to a Kingdom,2010-04-06,Strategy,6.0,Okay,Ubisoft Blue Byte,Ubisoft,0,0,0,10000,12.49,20.34,29.87,42.75,23.25
The Ship,2006-08-25,Adventure,7.4,Good,Outerlight Ltd.,Blazing Griffin Ltd.,0,233,239,1500000,0.0,2.61,3.1,4.07,2.92
The Sims 2,2004-09-10,Simulation,9.4,Amazing,The Sims Studio,Electronic Arts,0,4730,499,3500000,24.99,25.66,47.13,119.61,38.52
The Sims 3,2009-06-01,Simulation,8.9,Great,The Sims Studio,Electronic Arts,0,4730,499,3500000,24.99,52.56,92.29,154.01,82.85
The Sims 3 (Collector's Edition),2009-06-10,Simulation,8.9,Great,The Sims Studio,Electronic Arts,0,4730,499,3500000,24.99,52.56,92.29,154.01,82.85
The Sims 4,2014-09-02,Simulation,7.5,Good,The Sims Studio,Electronic Arts,0,4730,499,3500000,24.99,22.16,103.97,288.86,93.85
The Stanley Parable,2013-10-18,Adventure,8.8,Great,Galactic Cafe,Galactic Cafe,0,170,132,3500000,9.99,1.45,2.89,8.82,3.15
The Swapper,2013-06-01,Platformer,9.3,Amazing,"Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano",Facepalm Games,0,129,184,750000,11.99,5.1,5.44,5.91,5.35
The Talos Principle,2014-12-09,"Puzzle,Adventure",8.3,Great,Croteam,Devolver Digital;Croteam,0,230,186,1500000,29.99,15.65,21.07,29.3,21.2
The Technomancer,2016-06-28,RPG,4.9,Bad,Spiders,Focus Home Interactive,0,67,67,150000,23.99,18.92,27.57,45.1,28.34
The Turing Test,2016-08-31,Puzzle,7.0,Good,Bulkhead Interactive,Square Enix,0,357,434,350000,14.99,5.1,5.9,6.25,5.98
The UnderGarden,2010-11-16,"Puzzle,Adventure",6.5,Okay,Artech Studios,Retroism,0,23,23,35000,4.99,5.29,6.34,9.78,7.26
The Vanishing of Ethan Carter,2014-10-02,Adventure,8.5,Great,The Astronauts,The Astronauts,0,185,217,750000,14.99,3.76,4.22,4.32,4.09
The Witcher,2007-10-29,RPG,8.5,Great,CD PROJEKT RED,CD PROJEKT RED;1C-SoftClub,0,773,335,3500000,6.99,35.26,45.97,63.58,46.46
The Witcher 2: Assassins of Kings,2011-05-24,RPG,9.0,Amazing,CD PROJEKT RED,CD PROJEKT RED;1C-SoftClub,0,838,320,3500000,14.99,24.15,34.58,56.53,33.11
The Witcher 3: Wild Hunt,2015-05-12,RPG,9.3,Amazing,CD PROJEKT RED,CD PROJEKT RED,0,3068,2002,7500000,24.99,51.57,103.73,174.89,103.78
The Witcher Adventure Game,2014-12-18,Board,6.9,Okay,CD PROJEKT RED;Can Explode,CD PROJEKT RED,0,26,27,150000,6.99,5.14,11.94,35.44,12.96
The Witness,2016-01-25,Puzzle,10.0,Masterpiece,"Thekla, Inc.","Thekla, Inc.",0,630,674,750000,29.99,17.01,24.28,37.61,22.69
Theatre of War 3: Korea,2011-04-13,Strategy,5.0,Mediocre,1C Entertainment,1C Entertainment,0,0,0,75000,4.99,11.18,0.0,0.0,11.18
They Bleed Pixels,2012-09-18,Platformer,8.2,Great,Spooky Squid Games Inc.,Spooky Squid Games Inc.,0,300,390,350000,6.99,8.75,11.57,17.25,10.42
Thief: Deadly Shadows,2004-05-25,"Action,Adventure",8.6,Great,Ion Storm,Square Enix,0,254,368,750000,6.99,16.56,22.46,29.11,20.65
Thief,2014-02-24,Adventure,6.8,Okay,Eidos-Montréal;Feral Interactive (Mac),Square Enix;Feral Interactive (Mac),16,276,192,1500000,19.99,10.97,22.31,44.22,18.21
Thirty Flights of Loving,2012-08-29,Adventure,8.0,Great,Blendo Games,Blendo Games,0,0,0,150000,3.99,0.31,0.55,0.7,0.41
This War Of Mine,2014-11-25,Strategy,8.4,Great,11 bit studios,11 bit studios,0,512,347,3500000,14.99,11.19,20.2,43.04,16.24
Thomas Was Alone,2012-07-24,Platformer,8.0,Great,Bithell Games,Bithell Games,0,72,81,750000,5.99,3.53,3.86,4.16,3.83
Thrillville: Off the Rails,2007-10-17,Simulation,7.9,Good,Frontier,LucasArts,0,17,17,35000,7.19,7.23,12.23,13.58,9.94
Thunder Wolves,2013-05-27,"Flight,Action",6.7,Okay,Most Wanted Entertainment,HandyGames,0,0,0,150000,7.99,3.5,6.52,15.83,4.3
TimeShift,2007-10-30,Shooter,7.6,Good,Saber Interactive,Activision,0,0,0,150000,9.99,7.88,8.88,9.11,8.0
Tiny & Big: Grandpa's Leftovers,2012-06-22,Action,7.5,Good,Black Pants Studio,Black Pants Studio,0,207,197,750000,6.99,2.59,3.81,11.92,3.34
Tiny Brains,2013-12-04,Puzzle,4.5,Bad,Spearhead Games,Spearhead Games,0,132,132,75000,7.19,2.15,2.75,3.42,2.38
Titan Souls,2015-04-13,RPG,8.0,Great,Acid Nerve,Devolver Digital,0,46,67,350000,10.99,3.14,4.03,7.32,3.76
Titanfall,2014-03-10,"Shooter,First-Person",8.9,Great,Geoff Keighley,Geoff Keighley,0,0,0,35000,1.59,6.56,30.64,71.9,13.34
To the Moon,2011-11-29,RPG,7.5,Good,Freebird Games,Freebird Games,0,200,233,1500000,6.99,4.12,4.52,4.6,4.29
Tobe's Vertical Adventure,2011-07-28,Platformer,8.0,Great,Secret Base,Secret Base,0,17,17,75000,0.79,2.06,2.8,10.0,2.41
Tom Clancy's EndWar,2009-03-03,Strategy,7.0,Good,Ubisoft  Shanghaï,Ubisoft,0,384,655,150000,8.59,10.82,28.04,72.65,14.33
Tom Clancy's Rainbow Six: Lockdown,2006-02-16,Shooter,6.5,Okay,Red Storm Entertainment,Ubisoft,0,20,20,150000,4.29,7.54,8.2,11.4,8.71
Tom Clancy's Rainbow Six: Vegas,2006-12-15,Shooter,8.4,Great,Ubisoft Montreal,Ubisoft,0,0,0,350000,8.59,8.19,12.1,33.26,9.7
Tom Clancy's Rainbow Six: Vegas 2,2008-04-21,Shooter,7.7,Good,Ubisoft Montreal,Ubisoft,0,1349,1936,750000,8.59,8.18,12.03,29.25,9.99
Tom Clancy's Rainbow Six Siege,2015-11-30,Shooter,7.9,Good,Ubisoft Montreal,Ubisoft,0,7504,2543,7500000,16.99,3.32,25.59,139.17,43.25
Tom Clancy's Splinter Cell,2003-02-18,Adventure,9.4,Amazing,Ubisoft,Ubisoft,0,28,28,350000,4.29,12.45,14.77,15.95,13.46
Tom Clancy's Splinter Cell Chaos Theory,2005-03-23,"Action,Adventure",9.6,Amazing,Ubisoft Montreal,Ubisoft,0,22,22,350000,8.59,12.94,14.21,19.71,13.9
Tom Clancy's Splinter Cell Double Agent,2006-11-22,Action,9.0,Amazing,Ubisoft Montreal,Ubisoft,0,0,0,350000,8.59,11.19,11.95,15.23,11.87
Tom Clancy's The Division,2016-03-17,Shooter,6.7,Okay,Massive Entertainment,Ubisoft,18,4252,1952,3500000,41.99,24.24,47.66,85.59,44.08
Tomb Raider: The Angel of Darkness,2003-07-10,"Action,Adventure",5.3,Mediocre,Crystal Dynamics,Square Enix,16,714,725,750000,4.99,14.86,17.16,18.44,15.77
Tomb Raider: Legend,2006-04-05,"Action,Adventure",8.2,Great,Crystal Dynamics,Square Enix,16,714,725,750000,4.99,7.2,9.09,14.98,8.4
Tomb Raider,2013-02-25,Action,9.1,Amazing,Crystal Dynamics;Eidos-Montréal;Feral Interactive (Mac);Feral Interactive (Linux),Square Enix;Feral Interactive (Mac);Feral Interactive (Linux),18,527,475,7500000,14.99,11.34,15.47,20.89,14.36
Tomb Raider Anniversary,2007-06-01,Adventure,8.0,Great,Crystal Dynamics;Feral Interactive (Mac),Square Enix;Feral Interactive (Mac),16,239,280,750000,6.99,12.36,15.27,20.59,14.0
Tomb Raider Underworld,2008-11-21,Action,8.0,Great,Crystal Dynamics,Square Enix,16,313,565,750000,6.99,9.89,12.2,18.77,11.01
Torchlight,2009-11-18,"Action,RPG",8.6,Great,Runic Games,Runic Games,0,1108,1144,1500000,10.99,14.21,21.37,48.49,19.14
Torchlight II,2012-09-20,"Action,RPG",9.1,Amazing,Runic Games,Runic Games,0,1037,508,3500000,14.99,20.71,29.53,80.35,27.75
Total War: Shogun 2,2011-03-16,Strategy,9.0,Amazing,CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux),SEGA;Feral Interactive (Mac);Feral Interactive (Linux),0,469,361,3500000,0.0,27.18,72.06,216.15,52.82
Total War: Shogun 2 -- Fall of The Samurai,2012-04-03,Strategy,9.0,Amazing,CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux),SEGA;Feral Interactive (Mac);Feral Interactive (Linux),0,469,361,3500000,0.0,19.15,34.0,143.12,27.58
Total War: Rome II,2013-09-06,Strategy,8.8,Great,CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux),SEGA;Feral Interactive (Mac);Feral Interactive (Linux),0,469,361,3500000,0.0,47.12,95.33,266.85,76.35
Total War: Attila,2015-02-12,Strategy,8.1,Great,CREATIVE ASSEMBLY,SEGA,0,2147,2926,1500000,29.99,44.73,168.67,548.76,98.99
Total War: Warhammer,2016-05-19,Strategy,8.6,Great,CREATIVE ASSEMBLY;Feral Interactive (Linux);Feral Interactive (Mac),SEGA;Feral Interactive (Linux);Feral Interactive (Mac),0,3610,4356,1500000,39.99,34.66,68.87,184.82,54.77
Total War Battles: Shogun,2012-09-11,Strategy,7.0,Good,CREATIVE ASSEMBLY,SEGA,0,177,334,750000,0.0,10.0,14.0,16.91,14.43
TowerFall Ascension,2014-03-25,Action,8.9,Great,Matt Thorson,Matt Makes Games Inc.,0,337,340,350000,10.99,3.79,9.75,35.89,7.26
Trackmania 2: Canyon,2011-09-26,Racing,8.5,Great,Nadeo,Ubisoft,0,3793,5675,150000,16.99,12.8,15.63,63.66,24.88
Transistor,2014-05-20,"Action,RPG",9.0,Amazing,Supergiant Games,Supergiant Games,0,353,352,1500000,15.49,5.99,8.39,15.76,7.72
Trapped Dead,2011-08-12,Strategy,4.0,Bad,Headup Games / Crenetic,Headup Games ,0,142,157,150000,3.99,10.28,12.14,13.12,11.26
Trauma,2011-08-09,Simulation,7.0,Good,Krystian Majewski,Krystian Majewski,0,7,7,350000,4.39,2.17,0.0,0.0,2.17
Trials 2: Second Edition,2008-06-11,Racing,8.0,Great,Redlynx,RedLynx Ltd.,0,382,382,75000,5.99,7.89,30.04,194.67,26.56
Trials Fusion,2014-04-16,"Racing,Action",8.2,Great,"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev",Ubisoft,0,418,480,350000,16.99,6.78,22.36,115.53,12.38
Tribes: Ascend,2012-04-19,Action,9.0,Amazing,Hi-Rez Studios,Hi-Rez Studios,0,128,75,3500000,0.0,0.0,0.0,74.0,74.0
Trine 2,2011-12-19,Adventure,9.0,Amazing,Frozenbyte,Frozenbyte,0,421,319,3500000,13.99,8.2,11.59,22.92,10.32
Tron 2.0,2003-08-22,Action,8.0,Great,"Monolith Productions, Inc.",Disney Interactive,0,0,0,35000,7.19,11.77,12.7,13.93,12.52
Tropico 3,2009-10-16,Strategy,8.4,Great,Haemimont Games,Kalypso Media Digital,0,291,425,1500000,7.99,25.52,30.64,41.98,30.73
Tropico 4,2011-09-13,Strategy,8.5,Great,Haemimont Games,Kalypso Media Digital,0,518,268,3500000,12.49,40.55,62.19,105.25,61.3
Tropico 5,2014-05-30,Strategy,7.2,Good,Haemimont Games,Kalypso Media Digital,0,292,364,1500000,14.99,22.62,40.33,98.7,31.28
Tunnel Rats (Replay Studios Version),2009-05-22,Shooter,3.8,Awful,Replay Studios,Boll AG,0,0,0,10000,15.99,2.93,3.0,3.33,3.05
Turok,2008-04-24,Shooter,7.0,Good,Iguana Entertainment;Nightdive Studios,Nightdive Studios,0,2092,2092,75000,14.99,7.33,8.82,9.93,7.85
Twin Sector,2010-01-12,Action,4.3,Bad,DnS Development,DnS Development,0,0,0,75000,3.99,8.11,0.0,11.67,8.77
Two Worlds II,2011-02-03,RPG,6.0,Okay,Reality Pump Studios,"Topware Interactive, ACE",0,327,403,750000,14.99,30.14,39.71,49.07,38.6
Two Worlds II: Castle Defense,2011-05-25,Strategy,6.5,Okay,Reality Pump Studios,Topware Interactive,0,320,330,350000,6.99,2.94,3.11,3.33,3.07
UberSoldier,2006-04-18,Shooter,6.0,Okay,Burut CT,Strategy First,0,0,0,150000,6.99,5.5,6.07,12.9,6.8
UberSoldier II,2008-08-22,Shooter,6.8,Okay,Burut CT,Strategy First,0,0,0,150000,6.99,6.74,7.0,7.48,6.88
UFO: Aftermath,2003-10-13,Strategy,7.5,Good,Altar Interactive,1C Entertainment,0,0,0,75000,2.79,22.68,35.33,45.51,29.1
UFO: Aftershock,2005-12-02,Strategy,7.5,Good,ALTAR Interactive,1C Entertainment,0,0,0,75000,2.79,47.95,51.5,94.91,61.52
UFO: Afterlight,2007-06-01,Strategy,7.4,Good,Altar Games,Bohemia Interactive,0,2380,2380,350000,4.99,33.33,36.7,60.52,39.58
UFO: Extraterrestrials,2007-07-31,Strategy,5.9,Mediocre,Chaos Concept,ND Games,0,0,0,150000,9.99,55.7,0.0,0.0,55.7
Undertale,2016-01-13,RPG,10.0,Masterpiece,tobyfox,tobyfox,0,679,443,3500000,6.99,6.96,11.19,20.63,10.11
Unreal II: The Awakening,2003-01-29,Shooter,8.2,Great,"Epic Games, Inc.","Epic Games, Inc.",0,682,682,350000,8.99,8.47,10.01,11.89,9.07
Unreal Tournament 2004,2004-03-11,Shooter,9.4,Amazing,"Epic Games, Inc.","Epic Games, Inc.",0,414,496,350000,8.99,14.6,20.28,29.4,16.4
Unreal Tournament 2004 (Editor's Choice Edition),2004-09-29,Shooter,9.4,Amazing,"Epic Games, Inc.","Epic Games, Inc.",0,414,496,350000,8.99,14.6,20.28,29.4,16.4
Unstoppable Gorg,2012-01-24,Strategy,6.5,Okay,Futuremark,Futuremark,0,37,37,75000,6.99,4.15,7.33,11.83,6.36
Uplink: Hacker Elite,2003-04-30,Strategy,7.5,Good,Introversion Software,Introversion Software,0,65,77,750000,6.99,8.57,15.91,31.77,13.89
Uru: Ages Beyond Myst,2003-12-04,Adventure,9.0,Amazing,Cyan Worlds,Cyan Worlds,0,0,0,75000,6.99,12.59,0.0,0.0,12.59
Valkyria Chronicles,2014-11-26,"Action,RPG",8.8,Great,SEGA,SEGA,0,892,1068,750000,14.99,30.35,38.48,60.05,36.75
Vampire: The Masquerade -- Bloodlines,2004-11-17,RPG,8.4,Great,Troika Games,Activision,0,350,202,750000,14.99,22.72,28.63,39.59,28.87
Velocity Ultra,2013-07-23,Shooter,8.4,Great,Curve Digital;FuturLab,Curve Digital,0,0,0,75000,6.49,4.32,5.12,12.91,5.6
Velvet Assassin,2009-05-07,Action,5.0,Mediocre,Replay Studios,Missing Link Games,0,9,10,350000,1.69,9.96,11.94,13.12,10.51
Venetica,2011-01-28,"Action,RPG",6.0,Okay,Deck13,Deck13,0,39,39,75000,6.99,18.56,21.36,28.75,22.1
Vessel,2012-05-16,"Puzzle,Action",8.0,Great,Strange Loop Games,IndiePub,0,21,25,350000,14.99,9.6,12.73,13.63,12.01
Victoria: An Empire Under the Sun,2003-12-08,Strategy,7.2,Good,VIS-Games,SilentFuture,0,0,0,10000,6.99,22.12,34.33,275.25,61.04
Vietcong,2003-03-31,Shooter,7.0,Good,Studio-Space RA,Studio-Space RA,0,0,0,10000,3.99,8.25,12.57,20.14,9.8
Vietcong 2,2005-11-01,Shooter,6.8,Okay,Studio-Space RA,Studio-Space RA,0,0,0,10000,3.99,4.95,8.61,8.92,5.95
Virginia,2016-09-22,Adventure,8.5,Great,Variable State,505 Games,0,219,219,150000,6.99,1.93,2.2,3.73,2.22
Volume,2015-08-18,Action,8.1,Great,Bithell Games,Bithell Games,0,76,76,150000,14.99,6.96,8.01,8.23,7.6
VVVVVV,2010-02-10,Platformer,7.5,Good,Terry Cavanagh,Terry Cavanagh,0,76,74,1500000,3.99,2.4,3.45,4.87,2.94
Waking Mars,2012-11-19,Action,6.5,Okay,Tiger Style,Tiger Style,0,229,229,350000,6.99,6.71,8.29,8.77,8.22
War Thunder,2014-06-20,"Flight,Action",7.2,Good,Gaijin Entertainment,Gaijin Entertainment,0,4200,297,15000000,0.0,474.83,1630.35,4627.7,1234.51
Warframe,2013-04-03,Shooter,7.0,Good,Digital Extremes,Digital Extremes,16,5845,394,35000000,0.0,113.63,657.6,1496.81,558.31
Wargame: European Escalation,2012-03-07,Strategy,8.0,Great,Eugen Systems,Eugen Systems,0,11,11,750000,7.99,32.33,44.06,60.07,44.63
Wargame: AirLand Battle,2013-06-05,Strategy,8.4,Great,Eugen Systems,Eugen Systems,0,1069,1254,750000,14.99,32.6,0.0,34.9,34.19
Wargame: Red Dragon,2014-04-29,Strategy,7.6,Good,Eugen Systems,Focus Home Interactive,0,1702,2288,750000,24.99,49.06,88.41,0.0,67.78
Warhammer: Mark of Chaos,2006-11-10,Strategy,8.0,Great,Fatshark,Fatshark,16,1200,608,1500000,22.99,15.25,19.22,19.62,18.28
"Warhammer 40,000: Fire Warrior",2004-02-13,Shooter,6.0,Okay,Relic Entertainment,SEGA,16,309,340,1500000,9.99,7.38,8.6,0.0,7.68
"Warhammer 40,000: Dawn of War",2004-09-20,Strategy,8.8,Great,Relic Entertainment,SEGA,16,309,340,1500000,9.99,12.08,14.66,17.59,12.82
"Warhammer 40,000: Dawn of War II",2009-02-17,Strategy,9.0,Amazing,Relic Entertainment;Feral Interactive (Mac/Linux),SEGA;Feral Interactive (Mac/Linux),0,628,293,3500000,14.99,15.18,21.98,49.11,20.36
"Warhammer 40,000: Space Marine",2011-09-08,Shooter,7.5,Good,Relic,SEGA,18,712,537,3500000,19.99,7.55,9.3,22.97,8.26
Warlock: Master of the Arcane,2012-06-12,Strategy,7.5,Good,Ino-Co Plus,Paradox Interactive,0,115,136,750000,18.99,11.0,21.26,42.39,16.37
Warlords Battlecry III,2004-05-25,Strategy,8.0,Great,Infinite Interactive,Retroism;Enlight Software Limited,0,134,134,35000,6.99,14.9,19.7,35.53,17.88
Wars & Warriors: Joan of Arc,2004-02-18,Action,6.9,Okay,Enlight Software Limited,Retroism;Enlight Software Limited,0,0,0,10000,4.99,18.47,19.76,20.83,19.86
Wasteland 2,2014-09-24,RPG,8.4,Great,inXile Entertainment,inXile Entertainment,18,564,624,750000,23.79,40.63,65.38,100.39,66.22
Wasteland Angel,2011-10-03,Shooter,5.0,Mediocre,Octane Games;Meridian4,Meridian4,0,101,101,150000,6.99,3.12,3.23,3.65,3.49
Watch Dogs,2014-05-27,Action,8.4,Great,Ubisoft,Ubisoft,0,1176,1343,750000,25.99,19.56,33.08,62.48,28.25
Watchmen: The End is Nigh -- Part 1,2009-03-05,Action,5.5,Mediocre,Deadline Games,Warner Bros. Interactive Entertainment,0,0,0,35000,3.99,2.92,3.13,3.47,2.99
Waves,2012-03-14,Shooter,8.5,Great,Squid In A Box Ltd,Squid In A Box Ltd,0,11,11,150000,3.99,1.09,5.32,25.85,2.07
Who's That Flying!?,2011-02-07,Shooter,8.0,Great,Mediatonic,Kalypso Media Digital,0,25,25,35000,3.99,1.59,3.56,12.47,2.48
Wildlife Park,2004-01-15,Simulation,6.8,Okay,b-alive gmbh,b-alive gmbh,0,0,0,10000,4.99,22.5,0.0,0.0,22.5
Wings of Prey,2010-01-07,"Flight,Action",8.3,Great,Gaijin Entertainment,Gaijin Entertainment,0,1154,1154,150000,6.99,8.07,9.77,0.0,9.12
Wolfenstein,2009-08-20,Shooter,7.3,Good,Machine Games,Bethesda-Soft,18,539,630,1500000,14.99,8.87,10.59,12.29,9.69
Wolfenstein: The New Order,2014-05-20,Shooter,7.8,Good,Machine Games,Bethesda-Soft,18,539,630,1500000,14.99,11.38,15.33,24.7,13.59
Wolfenstein: The Old Blood,2015-05-08,Shooter,7.0,Good,MachineGames,Bethesda Softworks,18,245,276,750000,14.99,5.92,8.48,15.86,7.29
World of Goo,2008-10-20,Puzzle,9.0,Amazing,2D BOY,2D BOY ,0,194,277,1500000,6.99,5.99,7.93,13.95,7.01
World of Warships,2015-09-23,Strategy,8.3,Great,Wargaming Group Limited,Wargaming Group Limited,0,341,135,3500000,0.0,0.0,144.0,0.0,144.0
Worms Reloaded,2010-09-30,Strategy,8.5,Great,Team17 Digital Ltd,Team17 Digital Ltd,0,327,420,750000,14.99,10.3,21.61,52.16,20.81
Worms Revolution,2012-10-02,Strategy,8.5,Great,Team17 Digital Ltd,Team17 Digital Ltd,0,445,259,1500000,10.99,18.92,32.51,49.87,26.62
WRC 3 FIA World Rally Championship,2012-10-15,Racing,5.0,Mediocre,Milestone S.r.l.,Plug In Digital;Bigben Interactive,0,0,0,75000,24.99,12.81,17.45,17.76,14.84
X Rebirth,2013-12-02,Simulation,4.3,Bad,Egosoft,Egosoft,0,1744,3386,350000,24.99,0.0,118.44,0.0,118.44
X-Blades,2009-02-13,Action,6.0,Okay,Gaijin Entertainment,Topware Interactive,0,313,341,750000,6.99,6.78,8.72,10.89,7.49
X-Men: The Official Game,2006-05-25,Action,5.7,Mediocre,Egosoft,Egosoft,0,648,648,350000,3.49,8.91,9.3,11.85,9.73
X-Men Legends II: Rise of Apocalypse,2005-09-21,"Action,RPG",8.5,Great,Egosoft,Egosoft,0,648,648,350000,3.49,21.38,23.34,24.34,22.43
X2: The Threat,2003-12-17,Simulation,7.3,Good,Egosoft,Egosoft,0,732,732,350000,4.99,35.11,66.2,474.0,127.8
X3: Reunion,2005-12-06,Simulation,8.0,Great,Egosoft,Egosoft,0,831,1232,350000,9.99,24.77,175.7,0.0,116.18
X3: Terran Conflict,2008-10-29,Simulation,8.0,Great,Egosoft,Egosoft,0,972,1273,750000,15.99,48.42,118.33,211.0,99.85
XCOM: Enemy Within,2013-11-11,Strategy,9.0,Amazing,Firaxis Games;Feral Interactive (Mac);Feral Interactive (Linux),2K;Feral Interactive (Mac);Feral Interactive (Linux),12,1470,1049,3500000,14.99,27.54,37.43,50.36,34.86
XCOM 2,2016-02-01,Strategy,9.3,Amazing,Firaxis Games;Feral Interactive (Mac);Feral Interactive (Linux),2K;Feral Interactive (Mac);Feral Interactive (Linux),0,1891,1985,1500000,34.99,33.23,47.99,86.24,44.84
Xenonauts,2014-08-07,Strategy,7.8,Good,Goldhawk Interactive,Goldhawk Interactive,0,880,880,350000,18.99,33.21,52.52,94.4,46.18
Xeodrifter,2014-12-16,"Action,Adventure",6.5,Okay,Renegade Kid,Good Shepherd Entertainment,0,0,0,75000,6.99,3.06,3.15,3.68,3.26
Xpand Rally,2006-07-24,Racing,8.0,Great,Techland,Techland,0,939,939,35000,3.99,6.04,9.57,11.88,9.85
Yar's Revenge,2011-05-12,Shooter,5.5,Mediocre,Killspace Entertainment,Atari,0,0,0,10000,6.99,2.04,0.0,0.0,2.04
Yosumin!,2009-06-22,Puzzle,7.1,Good,Square Enix,Square Enix,0,0,0,150000,3.99,9.07,0.0,17.19,10.26
You Don't Know Jack,2011-02-11,Trivia,6.0,Okay,"Jackbox Games, Inc.","Jackbox Games, Inc.",0,0,0,75000,1.99,1.0,0.0,0.0,1.0
Zen Bound 2,2010-11-30,Puzzle,7.5,Good,Secret Exit Ltd.,Secret Exit Ltd.,0,133,133,350000,3.99,4.32,5.85,18.12,7.29
Zeno Clash,2009-04-24,Action,8.4,Great,ACE Team,ACE Team,0,307,307,350000,6.99,3.82,5.11,9.03,4.23
Zeno Clash II,2013-05-02,Action,6.4,Okay,ACE Team,SEGA,0,156,190,350000,10.99,5.96,7.83,9.05,7.18
Zuma's Revenge,2009-09-15,Puzzle,8.0,Great,"PopCap Games, Inc.","PopCap Games, Inc.",0,0,0,150000,4.25,4.73,10.66,18.52,6.98
